"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1848038517492097265","Sun Oct 20 16:28:12 +0000 2024","0","Ternyata saat ini di bawah fotonya akan tertera wakil presiden. Lah eloe?","1848038517492097265","","","in","","0","0","0","https://x.com/agus_abdul62134/status/1848038517492097265","1835261774133903360","agus_abdul62134"
"1847842109782708620","Sun Oct 20 16:27:52 +0000 2024","0","@niwseir Makanya nyalon presiden... Jangan bacot D sosmed aja","1848038433807343850","","niwseir","in","Indonesia","0","0","0","https://x.com/Jojo868687/status/1848038433807343850","1404230441410826243","Jojo868687"
"1848038405894230345","Sun Oct 20 16:27:45 +0000 2024","0","WTS WTB MURAH MERIAH APLIKASI PREMIUM BERGARANSI ️https://t.co/34K5XT5eBE https://t.co/303MsH04M0 NETFLIX DISNEY+ VIU WETV APPLE MUSIC BSTATION YOUKU t. mega pevita fufufafa giring wapres presiden #wtb #wts #zonauang #zonajajan #ZonaBA 1 https://t.co/bJCaL9BuK7","1848038405894230345","https://pbs.twimg.com/media/GaWNIMtakAAsbs_.jpg","","in","promosi @itsnaaaw","0","0","0","https://x.com/ngyzhx/status/1848038405894230345","632037322","ngyzhx"
"1848038400059986298","Sun Oct 20 16:27:44 +0000 2024","0","WTS WTB JUAL BELI APLIKASI PREMIUM MURAH &amp; BER GARANSI : https://t.co/ExPM80SsEg fastrespon : https://t.co/co2tGggsKh NETFLIX &amp; CANVA MURCE t. besok senin agus presiden megawati horeg siang minggu tangkap panas rakyatnya anies hujan abah indah g gibran fufufafa #zonauang https://t.co/hv6eZ2HvoB","1848038400059986298","https://pbs.twimg.com/media/GaWNG6gbcAAkvUG.jpg","","in","meow always open!","0","0","0","https://x.com/reuniterd/status/1848038400059986298","3258399151","reuniterd"
"1848013263063425362","Sun Oct 20 16:27:44 +0000 2024","0","@idextratime Penuh haru pelantikan Presiden Prabowo. Beginilah saat saat bapak Jokowi menyaksikan pelantikan presiden baru Klik link berikut https://t.co/qjsBmZ1oHE","1848038399753732459","","idextratime","in","","0","0","0","https://x.com/SyhaAal83087/status/1848038399753732459","1814725750949621760","SyhaAal83087"
"1847890810760466799","Sun Oct 20 16:27:38 +0000 2024","0","@i___psyche Kok ga jadi presiden by? Padahal udh masuk lobang &gt; &lt;","1848038374516691355","","i___psyche","in","","0","0","0","https://x.com/2ndbebytokyo/status/1848038374516691355","1520123032445997061","2ndbebytokyo"
"1848038121654652934","Sun Oct 20 16:27:25 +0000 2024","0","Males temenan sama orang bodoh soalnya Mendingan ngak punya mutual sama sekali daripada punya tapi dukung presiden pelanggar ham sama wapres yang suka nabrak konstitusi","1848038322817712344","","0415files","in","02' liner","0","0","0","https://x.com/0415files/status/1848038322817712344","1318771332574711808","0415files"
"1848038314840125869","Sun Oct 20 16:27:23 +0000 2024","1","Terimakasih atas kepercayaannya dari Bapak Presiden Prabowo Subianto menghunjuk 1 Menko 2 Menteri Utama dan 1 Wakil Menteri dari Partai Demokrat. Selamat bertugas Kader kebanggaan kami #PartaiDemokrat #PrabowoSubianto #GibranRakabuming #KabinetMerahPutih #Menko #Menteri https://t.co/K75uBgxdlP","1848038314840125869","https://pbs.twimg.com/media/GaWNDVsakAA1_0H.jpg","","in","North Sumatra, Indonesia","0","0","0","https://x.com/DemokratSergai/status/1848038314840125869","1577981276703031297","DemokratSergai"
"1847455375270039562","Sun Oct 20 16:27:21 +0000 2024","0","@PngAdilnR4kyt Kasian APBN dibebankan lagi kami memilih para pejabat publik termasuk Presiden &amp; Wakilnya utk memanfaatkan Keuangan Negara dari Pajak rakyat &amp; penerimaan negara lainnya tp malah boros dgn Program Konsumtif &amp; membentuk Kementerian Baru Negara Defisit 150an Triliun/tahunnya‍","1848038304438169842","","PngAdilnR4kyt","in","","0","0","0","https://x.com/arioariekoboi/status/1848038304438169842","1163577168460279810","arioariekoboi"
"1848038258833567988","Sun Oct 20 16:27:10 +0000 2024","0","Ini baru Pak Prabs yang pernah aku pilih (dulu)! Tetap humble cerdas &amp; penuh semangat. Kurang-kurangi gimmick gemoy kaya kemarin ya Pak. Selamat dilantik jadi presiden. Semoga amanah dalam memajukan negri Tapi maaf wakilnya ga dulu ‍","1848038258833567988","","","in","","0","0","0","https://x.com/rizayuniput/status/1848038258833567988","312609933","rizayuniput"
